filename,original_filename,new_filename,style_cd,style_category,ring_type,cstone_shape,chain_type,metal_color,metal_type,gender,collection,is_set,earring_type,stud_subtype,setting,diameter,hoop_subtype,image_url,tagger,comments,cant_view_image,view,center_setting,side_setting
R11093SSCZ_2.jpg,R11093SSCZ_2.jpg,,R11093SSCZ,RING,ENGAGEMENT,"PRINCESS, ROUND",,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11093SSCZ_2.jpg,,,False,,,
R3184W_3.jpg,R3184W_3.jpg,,R3184W,RING,FASHION,PRINCESS,,W,14KT,LADIES,,True,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R3184W_3.jpg,,,False,,,
R9853_3.jpg,R9853_3.jpg,,R9853,RING,FASHION,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R9853_3.jpg,,,False,,,
N1831_1.jpg,N1831_1.jpg,,N1831,NECKLACE,,CUSHION,,W,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N1831_1.jpg,,,False,,,
R11578_6.jpg,R11578_6.jpg,,R11578,RING,WEDDING,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11578_6.jpg,,,False,,,
P3233_1.jpg,P3233_1.jpg,,P3233,PENDANT,,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P3233_1.jpg,,,True,,,
R16117_1.jpg,R16117_1.jpg,,R16117,RING,,,,,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R16117_1.jpg,,,False,,,
R10190_2.jpg,R10190_2.jpg,,R10190,RING,FASHION,ROUND,,,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R10190_2.jpg,,,False,,,
BG1992_1.jpg,BG1992_1.jpg,,BG1992,BANGLE,,ROUND,,,10KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bangles/BG1992_1.jpg,,,False,,,
R7003W_2.jpg,R7003W_2.jpg,,R7003W,RING,,ROUND,,W,14KT,LADIES,Unknown,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R7003W_2.jpg,,,False,,,
B3409_1.jpg,B3409_1.jpg,,B3409,BRACELET,,CUSHION,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B3409_1.jpg,,,True,,,
B2519_2.jpg,B2519_2.jpg,,B2519,BRACELET,,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B2519_2.jpg,,,False,,,
R16082_1.jpg,R16082_1.jpg,,R16082,RING,FASHION,"OVAL, PEAR",,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R16082_1.jpg,,,False,,,
R2170W_1.jpg,R2170W_1.jpg,,R2170W,RING,FASHION,"ROUND, MARQUISE, PRINCESS",,W,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R2170W_1.jpg,,,False,,,
R11722_3.jpg,R11722_3.jpg,,R11722,RING,ENGAGEMENT,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11722_3.jpg,,,False,,,
E0679TT_1.jpg,E0679TT_1.jpg,,E0679TT,EARRING,,PEAR,,Y,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E0679TT_1.jpg,,,False,,,
R16441_1.jpg,R16441_1.jpg,,R16441,RING,,ROUND,,Y,SILV,GENTS,,True,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R16441_1.jpg,,,False,,,
N866_1.jpg,N866_1.jpg,,N866,NECKLACE,,,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N866_1.jpg,,,False,,,
R10248_1.jpg,R10248_1.jpg,,R10248,RING,FASHION,"BAGUETTE, ROUND",,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R10248_1.jpg,,,False,,,
BG2307SSYVCZ_1.jpg,BG2307SSYVCZ_1.jpg,,BG2307SSYVCZ,BANGLE,,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bangles/BG2307SSYVCZ_1.jpg,,,False,,,
R9205_1.jpg,R9205_1.jpg,,R9205,RING,BRIDAL,,,PW,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R9205_1.jpg,,,False,,,
P3571_1.jpg,P3571_1.jpg,,P3571,PENDANT,,,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P3571_1.jpg,,,False,,,
B2956_1.jpg,B2956_1.jpg,,B2956,BRACELET,,,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B2956_1.jpg,,,False,,,
E2355_3.jpg,E2355_3.jpg,,E2355,EARRING,,ROUND,,W,SILV,LADIES,,False,Hoop,,,0.5,Inside Out,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E2355_3.jpg,,,False,FRONT/TOP,4-prong,
R15221_1.jpg,R15221_1.jpg,,R15221,RING,,BAGUETTE,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R15221_1.jpg,,,False,,4-prong,4-prong
E4569_1.jpg,E4569_1.jpg,,E4569,EARRING,,ROUND,,W,SILV,LADIES,,False,Fashion,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E4569_1.jpg,,,False,FRONT/TOP,4-prong,Channel
LE1014_1.jpg,LE1014_1.jpg,,LE1014,EARRING,,PEAR,,W,SILV,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/LE1014_1.jpg,,,True,,4-prong,
P3960_4.jpg,P3960_4.jpg,,P3960,PENDANT,,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P3960_4.jpg,,,False,3/4,,4-prong
E3686_1.jpg,E3686_1.jpg,,E3686,EARRING,,"ROUND, BAGUETTE",,W,SILV,LADIES,,False,Fashion,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E3686_1.jpg,,,False,FRONT/TOP,4-prong,
R15522_1.jpg,R15522_1.jpg,,R15522,RING,FASHION,"ROUND, BAGUETTE",,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R15522_1.jpg,,,False,FRONT/TOP,4-prong,
E5317_1.jpg,E5317_1.jpg,,E5317,EARRING,,ROUND,,Y,SILV,LADIES,,False,Fashion,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E5317_1.jpg,,,False,FRONT/TOP,4-prong,
N2145_1.jpg,N2145_1.jpg,,N2145,NECKLACE,,ROUND,CABLE CHAIN,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N2145_1.jpg,,,False,FRONT/TOP,4-prong,
R14238_4.jpg,R14238_4.jpg,,R14238,RING,,,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R14238_4.jpg,,,False,SIDE,,4-prong
R11775_3.jpg,R11775_3.jpg,,R11775,RING,FASHION,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11775_3.jpg,,,False,SIDE,,
R15990_1.jpg,R15990_1.jpg,,R15990,RING,,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R15990_1.jpg,,,False,FRONT/TOP,4-prong,
E3836_2.jpg,E3836_2.jpg,,E3836,EARRING,,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E3836_2.jpg,,,False,,4-prong,
N1338_1.jpg,N1338_1.jpg,,N1338,NECKLACE,,ROUND,CABLE CHAIN,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N1338_1.jpg,,,False,,,
P2433_2.jpg,P2433_2.jpg,,P2433,PENDANT,,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P2433_2.jpg,,,False,FRONT/TOP,4-prong,
R10145_1.jpg,R10145_1.jpg,,R10145,RING,,"OVAL, ROUND",,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R10145_1.jpg,,,False,SIDE,,
R8260_3.jpg,R8260_3.jpg,,R8260,RING,,PRINCESS,,W,,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R8260_3.jpg,,,False,,4-prong,4-prong
BG2249_1.jpg,BG2249_1.jpg,,BG2249,BANGLE,,ROUND,,Y,SILV,LADIES,,True,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bangles/BG2249_1.jpg,,,False,FRONT/TOP,,
R14535_1.jpg,R14535_1.jpg,,R14535,RING,GENTS,,,W,SILV,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R14535_1.jpg,,,False,FRONT/TOP,,
N1702_1.jpg,N1702_1.jpg,,N1702,NECKLACE,,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N1702_1.jpg,,,False,,4-prong,
R15177_4.jpg,R15177_4.jpg,,R15177,RING,,BAGUETTE,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R15177_4.jpg,,,False,,,
LN1014_2.jpg,LN1014_2.jpg,,LN1014,NECKLACE,,CUSHION,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/LN1014_2.jpg,,,False,,4-prong,
N1891_1.jpg,N1891_1.jpg,,N1891,NECKLACE,,ROUND,CABLE CHAIN,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N1891_1.jpg,,,False,,,
R16327_2.jpg,R16327_2.jpg,,R16327,RING,BRIDAL,"EMERALD, ROUND",,Y,SILV,LADIES,,True,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R16327_2.jpg,,,False,FRONT/TOP,4-prong,4-prong
E3678_1.jpg,E3678_1.jpg,,E3678,EARRING,,ROUND,,Y,SILV,LADIES,,False,Fashion,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E3678_1.jpg,,,False,,4-prong,
E2745_1.jpg,E2745_1.jpg,,E2745,EARRING,,,,W,SILV,LADIES,,False,Fashion,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E2745_1.jpg,,,True,,,4-prong
B2793_1.jpg,B2793_1.jpg,,B2793,BRACELET,,,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B2793_1.jpg,,,False,,,
R4463W_1.jpg,R4463W_1.jpg,,R4463W,RING,,PRINCESS,,W,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R4463W_1.jpg,,,False,,4-prong,
B2628_1.jpg,B2628_1.jpg,,B2628,BRACELET,,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B2628_1.jpg,,,False,FRONT/TOP,,Prong
R11582_2.jpg,R11582_2.jpg,,R11582,RING,FASHION,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11582_2.jpg,,,False,FRONT/TOP,2-prong,
R12515_1.jpg,R12515_1.jpg,,R12515,RING,WEDDING,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R12515_1.jpg,,,False,FRONT/TOP,4-prong,
R10710_2.jpg,R10710_2.jpg,,R10710,RING,WEDDING,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R10710_2.jpg,,,False,FRONT/TOP,4-prong,
P3159SSCZ_1.jpg,P3159SSCZ_1.jpg,,P3159SSCZ,PENDANT,,PRINCESS,CABLE-DC CHAIN,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P3159SSCZ_1.jpg,,,False,FRONT/TOP,4-prong,
R3013TT_1.jpg,R3013TT_1.jpg,,R3013TT,RING,,ROUND,,T,14KT,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R3013TT_1.jpg,,,False,,,
P2280_1.jpg,P2280_1.jpg,,P2280,PENDANT,,ROUND,ROPE CHAIN,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P2280_1.jpg,,,False,FRONT/TOP,3-prong,4-prong
R16327_1.jpg,R16327_1.jpg,,R16327,RING,BRIDAL,CUSHION,,Y,SILV,LADIES,,True,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R16327_1.jpg,,,False,,4-prong,
R3648W_1.jpg,R3648W_1.jpg,,R3648W,RING,,ROUND,,W,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R3648W_1.jpg,,,False,,4-prong,
E2457_2.jpg,E2457_2.jpg,,E2457,EARRING,,,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E2457_2.jpg,,,False,,4-prong,
R11092_1.jpg,R11092_1.jpg,,R11092,RING,GENTS,ROUND,,W,SILV,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11092_1.jpg,,,False,,,
E2828_1.jpg,E2828_1.jpg,,E2828,EARRING,,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E2828_1.jpg,,,False,,4-prong,
R14136_1.jpg,R14136_1.jpg,,R14136,RING,ANNIVERSARY,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R14136_1.jpg,,,False,,4-prong,
N780_2.jpg,N780_2.jpg,,N780,NECKLACE,,,BOX CHAIN,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N780_2.jpg,,,False,,4-prong,
P4126_2.jpg,P4126_2.jpg,,P4126,PENDANT,,,,W,SILV,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P4126_2.jpg,,,False,SIDE,,
P3726_1.jpg,P3726_1.jpg,,P3726,PENDANT,,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P3726_1.jpg,,,False,,4-prong,
R2977W_1.jpg,R2977W_1.jpg,,R2977W,RING,BRIDAL,ROUND,,W,14KT,LADIES,,True,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R2977W_1.jpg,,,False,,4-prong,
R11154_2.jpg,R11154_2.jpg,,R11154,RING,GENTS,ROUND,,T,SILV,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11154_2.jpg,,,False,3/4,4-prong,
R15543SSYVCZ_1.jpg,R15543SSYVCZ_1.jpg,,R15543SSYVCZ,RING,,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R15543SSYVCZ_1.jpg,,,False,,4-prong,
E3832_1.jpg,E3832_1.jpg,,E3832,EARRING,,,,,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E3832_1.jpg,,,False,,,
R10369_1.jpg,R10369_1.jpg,,R10369,RING,GENTS,ROUND,,W,10KT,GENTS,Unknown,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R10369_1.jpg,,,False,,,
N646_1.jpg,N646_1.jpg,,N646,NECKLACE,,,CABLE CHAIN,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N646_1.jpg,,Render image,False,SIDE,,
N759_1.jpg,N759_1.jpg,,N759,NECKLACE,,ROUND,CABLE CHAIN,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N759_1.jpg,,,False,FRONT/TOP,3-prong,4-prong
RR1316_3.jpg,RR1316_3.jpg,,RR1316,RING,FASHION,"ROUND, BAGUETTE",,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/RR1316_3.jpg,,,False,3/4,4-prong,Prong
N669_4.jpg,N669_4.jpg,,N669,NECKLACE,,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N669_4.jpg,,,False,,4-prong,4-prong
E4691_1.jpg,E4691_1.jpg,,E4691,EARRING,,,,Y,10KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E4691_1.jpg,,,False,,,
N1875_1.jpg,N1875_1.jpg,,N1875,NECKLACE,,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N1875_1.jpg,,,False,,,
B2520SSCZ_1.jpg,B2520SSCZ_1.jpg,,B2520SSCZ,BRACELET,,,,,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B2520SSCZ_1.jpg,,,False,,,
R11652SSTRICZ_1.jpg,R11652SSTRICZ_1.jpg,,R11652SSTRICZ,RING,FASHION,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11652SSTRICZ_1.jpg,,,False,,,
R13583_1.jpg,R13583_1.jpg,,R13583,RING,FASHION,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R13583_1.jpg,,,False,FRONT/TOP,2-prong,
P163114KW_1.jpg,P163114KW_1.jpg,,P163114KW,PENDANT,,ROUND,BOX CHAIN,W,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P163114KW_1.jpg,,,False,FRONT/TOP,3-prong,2-prong
R11134_1.jpg,R11134_1.jpg,,R11134,RING,ENGAGEMENT,PRINCESS,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11134_1.jpg,,,False,3/4,4-prong,
R11717_2.jpg,R11717_2.jpg,,R11717,RING,FASHION,,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R11717_2.jpg,,Render image,False,SIDE,,
R2366W_1.jpg,R2366W_1.jpg,,R2366W,RING,BRIDAL,MARQUISE,,W,14KT,LADIES,,True,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R2366W_1.jpg,,,False,FRONT/TOP,6-prong,
E5342_1.jpg,E5342_1.jpg,,E5342,EARRING,,ROUND,,Y,SILV,LADIES,,False,Fashion,,,,,https://aneri-jewels-v2.s3.amazonaws.com/earrings/E5342_1.jpg,,,False,FRONT/TOP,Bezel,
R3202Y_1.jpg,R3202Y_1.jpg,,R3202Y,RING,,ROUND,,W,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R3202Y_1.jpg,,,False,FRONT/TOP,4-prong,
B3493_1.jpg,B3493_1.jpg,,B3493,BRACELET,,ROUND,,Y,SILV,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B3493_1.jpg,,,False,FRONT/TOP,6-prong,Bezel
B3226_1.jpg,B3226_1.jpg,,B3226,BRACELET,,,,PW,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B3226_1.jpg,,,False,FRONT/TOP,,
R7566W_4.jpg,R7566W_4.jpg,,R7566W,RING,,ROUND,,W,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R7566W_4.jpg,,,False,SIDE,4-prong,
P4568_2.jpg,P4568_2.jpg,,P4568,PENDANT,,,CABLE CHAIN,Y,SILV,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P4568_2.jpg,,,False,,,
R13573_1.jpg,R13573_1.jpg,,R13573,RING,GENTS,ROUND,,W,SILV,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R13573_1.jpg,,,False,,,
B2539_3.jpg,B2539_3.jpg,,B2539,BRACELET,,PRINCESS,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B2539_3.jpg,,Render Image,False,FRONT/TOP,4-prong,
P3288_2.jpg,P3288_2.jpg,,P3288,PENDANT,,,,Y,SILV,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/pendants/P3288_2.jpg,,,False,,,
R823110KWCZ_1.jpg,R823110KWCZ_1.jpg,,R823110KWCZ,RING,,ROUND,,W,10KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R823110KWCZ_1.jpg,,,False,,4-prong,
R10364SSPVCZ_1.jpg,R10364SSPVCZ_1.jpg,,R10364SSPVCZ,RING,WEDDING,,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R10364SSPVCZ_1.jpg,,,False,,,
N1199_1.jpg,N1199_1.jpg,,N1199,NECKLACE,,,CABLE CHAIN,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/necklaces/N1199_1.jpg,,,False,,,
BG2090SSCZ_3.jpg,BG2090SSCZ_3.jpg,,BG2090SSCZ,BANGLE,,,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bangles/BG2090SSCZ_3.jpg,,,False,,,
R3255W_1.jpg,R3255W_1.jpg,,R3255W,RING,,ROUND,,W,14KT,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R3255W_1.jpg,,,False,SIDE,,
B2785_1.jpg,B2785_1.jpg,,B2785,BRACELET,,,,T,10KT,GENTS,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B2785_1.jpg,,,False,,,
R8835_1.jpg,R8835_1.jpg,,R8835,RING,,ROUND,,Y,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R8835_1.jpg,,,False,,6-prong,
R9865_1.jpg,R9865_1.jpg,,R9865,RING,FASHION,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R9865_1.jpg,,,False,PRIMARY,Bezel,
R14457_1.jpg,R14457_1.jpg,,R14457,RING,FASHION,ROUND,,W,SILV,LADIES,,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/rings/R14457_1.jpg,,,False,TOP,Invisible,4-prong
B3115_1.jpg,B3115_1.jpg,,B3115,BRACELET,,ROUND,,W,SILV,LADIES,None,False,,,,,,https://aneri-jewels-v2.s3.amazonaws.com/bracelets/B3115_1.jpg,,,False,PRIMARY,4-prong,
